Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Variant Weight Unit,Status
field-minimalist-line-art-print,,,,,,,,,16″ x 24″,,Matte,,,65437066479820696255,166,continue,manual,39.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/14951925933635252503_2048.jpeg,4,Field — Minimalist Line Art Print,,,lb,
field-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/4036255358549092278_2048.jpeg,5,Field — Minimalist Line Art Print,,,,
field-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/13298027214445912588_2048.jpeg,6,Field — Minimalist Line Art Print,,,,
field-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/7150158966122177210_2048.jpeg,7,Field — Minimalist Line Art Print,,,,
field-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/5469286734592637525_2048.jpeg,8,Field — Minimalist Line Art Print,,,,
field-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/14854840261985569041_2048.jpeg,9,Field — Minimalist Line Art Print,,,,
field-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/960267944521365973_2048.jpeg,10,Field — Minimalist Line Art Print,,,,
field-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/12286643963593630356_2048.jpeg,11,Field — Minimalist Line Art Print,,,,
meridian-minimalist-line-art-print,Meridian — Minimalist Line Art Print,"<p>Meridian at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Meridian — minimalist line art print by Lineal Prints. One black vertical line, one deep-blue half circle. Nothing more was needed. A vertical line divides the sheet; a half circle in deep navy attaches to its right side just below centre. Meridian is the strictest piece in Series 01, a study in how little is needed to make a page feel complete. The blue is a dark ink blue rather than a bright one, so it works with black frames, walnut and grey walls. Hang it tall: a 24×36 inch Meridian in a narrow frame is the series' signature look. Where it lives: dining rooms and long corridors. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.</p>",Lineal Prints,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork","Posters, Prints, & Visual Artwork","Museum-grade matte paper, 175 gsm, Black and navy blue on off-white",TRUE,Sizes,20″ x 30″,Paper finish,Matte,,,81841891115447805030,218,continue,manual,49.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/2608452597764565465_2048.jpeg,1,Meridian — Minimalist Line Art Print,"Meridian — Minimalist Line Art Print - 20″ x 30″, Matte","Meridian at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Meridian — minimalist line art print by Lineal Prints. One black vertical line, one deep-blue half circle. Nothing more was needed. A vertical line divides the sheet; a half circle in deep navy attaches to its right side jus",lb,active
meridian-minimalist-line-art-print,,,,,,,,,12″ x 18″,,Matte,,,10190527437435013780,118,continue,manual,29.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/14952575423102345744_2048.jpeg,2,Meridian — Minimalist Line Art Print,,,lb,
meridian-minimalist-line-art-print,,,,,,,,,24″ x 36″,,Matte,,,13381627990805374964,274,continue,manual,59.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/13518650509812803658_2048.jpeg,3,Meridian — Minimalist Line Art Print,,,lb,
meridian-minimalist-line-art-print,,,,,,,,,16″ x 24″,,Matte,,,31758124485303464488,166,continue,manual,39.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/17024589104113963140_2048.jpeg,4,Meridian — Minimalist Line Art Print,,,lb,
meridian-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/5382604398684614397_2048.jpeg,5,Meridian — Minimalist Line Art Print,,,,
meridian-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/4253493320807667181_2048.jpeg,6,Meridian — Minimalist Line Art Print,,,,
meridian-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/17036166399641866650_2048.jpeg,7,Meridian — Minimalist Line Art Print,,,,
meridian-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/4153301134501945310_2048.jpeg,8,Meridian — Minimalist Line Art Print,,,,
meridian-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/12658673580436644073_2048.jpeg,9,Meridian — Minimalist Line Art Print,,,,
meridian-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/17997455965881039309_2048.jpeg,10,Meridian — Minimalist Line Art Print,,,,
meridian-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/15215467164708835989_2048.jpeg,11,Meridian — Minimalist Line Art Print,,,,
orbit-minimalist-line-art-print,Orbit — Minimalist Line Art Print,"<p>Orbit at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Orbit — minimalist line art print by Lineal Prints. Five black ellipses in rotation around a single rust-red point. Five thin ellipses rotate around a common centre, marked by one small dot in rust red. The figure recalls an atom, a flower or a planetary diagram depending on who is looking, which is exactly the point: a precise drawing that stays open to interpretation. Orbit is the busiest composition in the series and holds a wall on its own. It reads best at 20×30 inches or larger. Where it lives: home offices, studies and kids' rooms. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.</p>",Lineal Prints,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork","Posters, Prints, & Visual Artwork","Museum-grade matte paper, 175 gsm, Black and rust red on off-white",TRUE,Sizes,20″ x 30″,Paper finish,Matte,,,27727084144715883977,218,continue,manual,49.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/8461043017702594065_2048.jpeg,1,Orbit — Minimalist Line Art Print,"Orbit — Minimalist Line Art Print - 20″ x 30″, Matte","Orbit at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Orbit — minimalist line art print by Lineal Prints. Five black ellipses in rotation around a single rust-red point. Five thin ellipses rotate around a common centre, marked by one small dot in rust red. The figure recalls an at",lb,active
orbit-minimalist-line-art-print,,,,,,,,,12″ x 18″,,Matte,,,14782620073795596913,118,continue,manual,29.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/1390240050236880879_2048.jpeg,2,Orbit — Minimalist Line Art Print,,,lb,
orbit-minimalist-line-art-print,,,,,,,,,24″ x 36″,,Matte,,,18485762736096366917,274,continue,manual,59.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/18181509160975039752_2048.jpeg,3,Orbit — Minimalist Line Art Print,,,lb,
orbit-minimalist-line-art-print,,,,,,,,,16″ x 24″,,Matte,,,12087717021835840155,166,continue,manual,39.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/7231971065227086026_2048.jpeg,4,Orbit — Minimalist Line Art Print,,,lb,
orbit-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/14220415392450556017_2048.jpeg,5,Orbit — Minimalist Line Art Print,,,,
orbit-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/12492589825434512564_2048.jpeg,6,Orbit — Minimalist Line Art Print,,,,
orbit-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/18353956722016211831_2048.jpeg,7,Orbit — Minimalist Line Art Print,,,,
orbit-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/13586278098641481488_2048.jpeg,8,Orbit — Minimalist Line Art Print,,,,
orbit-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/3942385743196302496_2048.jpeg,9,Orbit — Minimalist Line Art Print,,,,
orbit-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/12125180767452501638_2048.jpeg,10,Orbit — Minimalist Line Art Print,,,,
orbit-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/5964785737517122040_2048.jpeg,11,Orbit — Minimalist Line Art Print,,,,
waves-minimalist-line-art-print,Waves — Minimalist Line Art Print,"<p>Waves at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Waves — minimalist line art print by Lineal Prints. Nine slow black lines breathing across the page. Movement without noise. Nine hand-drawn wave lines run across the upper half of the sheet, each one a slightly different rhythm from the last, so the group appears to move when you walk past it. Waves is the softest composition in Series 01 and pairs naturally with Field for a two-print wall. The lines are fine and even; on matte paper they hold their edge without any of the shine that makes wave prints look like posters. Where it lives: bathrooms, hallways and calm workspaces. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.</p>",Lineal Prints,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork","Posters, Prints, & Visual Artwork","Museum-grade matte paper, 175 gsm, Black on off-white",TRUE,Sizes,20″ x 30″,Paper finish,Matte,,,33611968746441024219,218,continue,manual,49.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/18257032444422807144_2048.jpeg,1,Waves — Minimalist Line Art Print,"Waves — Minimalist Line Art Print - 20″ x 30″, Matte","Waves at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Waves — minimalist line art print by Lineal Prints. Nine slow black lines breathing across the page. Movement without noise. Nine hand-drawn wave lines run across the upper half of the sheet, each one a slightly different rhyth",lb,active
waves-minimalist-line-art-print,,,,,,,,,12″ x 18″,,Matte,,,18777124755044256303,118,continue,manual,29.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/4752342540689140621_2048.jpeg,2,Waves — Minimalist Line Art Print,,,lb,
waves-minimalist-line-art-print,,,,,,,,,24″ x 36″,,Matte,,,19715336673075093768,274,continue,manual,59.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/7622553864205333038_2048.jpeg,3,Waves — Minimalist Line Art Print,,,lb,
waves-minimalist-line-art-print,,,,,,,,,16″ x 24″,,Matte,,,18495220670689342704,166,continue,manual,39.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/11107922469756138730_2048.jpeg,4,Waves — Minimalist Line Art Print,,,lb,
waves-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/15880058362344388612_2048.jpeg,5,Waves — Minimalist Line Art Print,,,,
waves-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/10573990397722913914_2048.jpeg,6,Waves — Minimalist Line Art Print,,,,
waves-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/842116137333237284_2048.jpeg,7,Waves — Minimalist Line Art Print,,,,
waves-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/6370903739139063321_2048.jpeg,8,Waves — Minimalist Line Art Print,,,,
waves-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/7547449872378720913_2048.jpeg,9,Waves — Minimalist Line Art Print,,,,
waves-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/11420597474876007042_2048.jpeg,10,Waves — Minimalist Line Art Print,,,,
waves-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/10736850741781716302_2048.jpeg,11,Waves — Minimalist Line Art Print,,,,
horizon-minimalist-line-art-print,Horizon — Minimalist Line Art Print,"<p>Horizon at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Horizon — minimalist line art print by Lineal Prints. A low black horizon with a rising half circle. The calmest moment of the day, kept. A single horizontal line sits low on the page, broken twice, and a half circle rises from it. That is the whole drawing: a sunrise reduced to two strokes. Horizon is the most restful piece in the series and the one most often bought in pairs with Meridian. Because the composition sits in the lower third, it looks especially good hung slightly lower than eye level, above a bedside table or a low console. Where it lives: bedrooms and reading corners. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.</p>",Lineal Prints,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork","Posters, Prints, & Visual Artwork","Museum-grade matte paper, 175 gsm, Black on off-white",TRUE,Sizes,20″ x 30″,Paper finish,Matte,,,13446372893893467756,218,continue,manual,49.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/2044735860883034596_2048.jpeg,1,Horizon — Minimalist Line Art Print,"Horizon — Minimalist Line Art Print - 20″ x 30″, Matte","Horizon at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Horizon — minimalist line art print by Lineal Prints. A low black horizon with a rising half circle. The calmest moment of the day, kept. A single horizontal line sits low on the page, broken twice, and a half circle rises fr",lb,active
horizon-minimalist-line-art-print,,,,,,,,,12″ x 18″,,Matte,,,11268563075235858030,118,continue,manual,29.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/11409029446584450133_2048.jpeg,2,Horizon — Minimalist Line Art Print,,,lb,
horizon-minimalist-line-art-print,,,,,,,,,24″ x 36″,,Matte,,,19485638748410643285,274,continue,manual,59.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/3543896531435025568_2048.jpeg,3,Horizon — Minimalist Line Art Print,,,lb,
horizon-minimalist-line-art-print,,,,,,,,,16″ x 24″,,Matte,,,21816794674499136246,166,continue,manual,39.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/17244022081029597012_2048.jpeg,4,Horizon — Minimalist Line Art Print,,,lb,
horizon-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/13505344807412228450_2048.jpeg,5,Horizon — Minimalist Line Art Print,,,,
horizon-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/12164318015654330569_2048.jpeg,6,Horizon — Minimalist Line Art Print,,,,
horizon-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/8084360256196247852_2048.jpeg,7,Horizon — Minimalist Line Art Print,,,,
horizon-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/5572838780190556259_2048.jpeg,8,Horizon — Minimalist Line Art Print,,,,
horizon-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/5489743090401687127_2048.jpeg,9,Horizon — Minimalist Line Art Print,,,,
horizon-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/11311027138781337749_2048.jpeg,10,Horizon — Minimalist Line Art Print,,,,
horizon-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/13871304813983288252_2048.jpeg,11,Horizon — Minimalist Line Art Print,,,,
balance-minimalist-line-art-print,Balance — Minimalist Line Art Print,"<p>Balance at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Balance — minimalist line art print by Lineal Prints. A rust-red circle resting on a long black diagonal. Tension, resolved. One thin black diagonal crosses the page; a single circle in rust red rests on it at the exact point where it would neither roll nor fall. Balance is the only piece in Series 01 with a colour accent, which is why it works as the anchor of a gallery wall or as the one print in a room of neutrals. The red is a muted terracotta, not a bright red, so it sits comfortably with oak, linen, black steel and white walls. Where it lives: living rooms, above a sofa or sideboard. Pair with a thin black or natural-oak frame and a white mat. Details Paper: museum-grade matte fine-art paper, 175 gsm, slightly textured, glare-free Ink: archival pigment inks rated for decades without fading Sizes: 12×18, 16×24, 20×30 and 24×36 inches — standard frame sizes, no custom framing needed Finish: unframed, shipped flat or in a rigid tube depending on size, with a 1/4 inch white border for easy matting Made: printed to order in the USA, ships tracked in 3–5 business days after production Returns: damaged in transit? Send a photo within 14 days and we reprint it free Part of Series 01 , eight original line compositions designed in-house by Lineal Prints. Each piece is drawn as a single idea: one gesture, one balance point, nothing decorative added.</p>",Lineal Prints,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork","Posters, Prints, & Visual Artwork","Museum-grade matte paper, 175 gsm, Black and rust red on off-white",TRUE,Sizes,20″ x 30″,Paper finish,Matte,,,23275963474091979850,218,continue,manual,49.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/17722892563386468185_2048.jpeg,1,Balance — Minimalist Line Art Print,"Balance — Minimalist Line Art Print - 20″ x 30″, Matte","Balance at 20 in x 30 in on museum-grade matte paper. Unframed; fits a standard 20 x 30 frame. Balance — minimalist line art print by Lineal Prints. A rust-red circle resting on a long black diagonal. Tension, resolved. One thin black diagonal crosses the page; a single circle in rust red rests on it at the exact point",lb,active
balance-minimalist-line-art-print,,,,,,,,,12″ x 18″,,Matte,,,32243905880188786167,118,continue,manual,29.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/3116021935552582048_2048.jpeg,2,Balance — Minimalist Line Art Print,,,lb,
balance-minimalist-line-art-print,,,,,,,,,24″ x 36″,,Matte,,,55823082161844215106,274,continue,manual,59.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/8552530294512322996_2048.jpeg,3,Balance — Minimalist Line Art Print,,,lb,
balance-minimalist-line-art-print,,,,,,,,,16″ x 24″,,Matte,,,88137951941814335343,166,continue,manual,39.00,,TRUE,TRUE,,https://linealprints.com/wp-content/uploads/2026/09/17561376682898082531_2048.jpeg,4,Balance — Minimalist Line Art Print,,,lb,
balance-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/7088984535888705668_2048.jpeg,5,Balance — Minimalist Line Art Print,,,,
balance-minimalist-line-art-print,,,,,,,,,,,,,,,,,,,,,,,https://linealprints.com/wp-content/uploads/2026/09/1976875501200678765_2048.jpeg,6,Balance — Minimalist Line Art Print,,,,
